Node	Total SNPs	Number of SNPs Inside Recombinations	Number of SNPs Outside Recombinations	Number of Recombination Blocks	Bases in Recombinations Including Gaps	Cumulative Bases in Recombinations Including Gaps	Bases in Recombinations Excluding Gaps	Cumulative Bases in Recombinations Excluding Gaps	r/m	rho/theta	Genome Length	Bases in Clonal Frame
Node_19	0	0	0	0	0	0	0	0	0.000000	0.000000	110376	110376
Node_20	4	0	4	0	0	0	0	0	0.000000	0.000000	110358	110358
Node_21	0	0	0	0	0	0	0	0	0.000000	0.000000	110371	110371
Node_22	0	0	0	0	0	0	0	0	0.000000	0.000000	110383	110383
Node_23	1	0	1	0	0	0	0	0	0.000000	0.000000	110383	110383
Node_24	9	0	9	0	0	0	0	0	0.000000	0.000000	110385	110385
Node_25	4	0	4	0	0	0	0	0	0.000000	0.000000	110385	110385
Node_26	4	0	4	0	0	0	0	0	0.000000	0.000000	110385	110385
Node_27	17	0	17	0	0	0	0	0	0.000000	0.000000	110396	110396
Node_28	2	0	2	0	0	0	0	0	0.000000	0.000000	110360	110360
Node_29	28	0	28	0	0	0	0	0	0.000000	0.000000	110360	110360
Node_30	4	0	4	0	0	0	0	0	0.000000	0.000000	110396	110396
Node_31	18	0	18	0	0	0	0	0	0.000000	0.000000	110397	110397
Node_32	12	0	12	0	0	0	0	0	0.000000	0.000000	110403	110403
Node_33	0	0	0	0	0	0	0	0	0.000000	0.000000	110406	110406
Node_34	90	0	90	0	0	302	0	284	0.000000	0.000000	110326	110026
Node_35	579	0	579	0	0	302	0	284	0.000000	0.000000	110331	110031
Node_36	1	0	1	0	0	305	0	279	0.000000	0.000000	110310	110006
Node_37	6	0	6	0	0	305	0	279	0.000000	0.000000	110310	110006
Node_38	21	0	21	0	0	305	0	280	0.000000	0.000000	110316	110012
Node_39	175	3	172	1	3	305	3	284	0.017442	0.005814	110332	110031
Node_40	4	0	4	0	0	302	0	285	0.000000	0.000000	110332	110032
Node_41	13	0	13	0	0	302	0	285	0.000000	0.000000	110338	110038
Node_42	15	0	15	0	0	302	0	281	0.000000	0.000000	110324	110024
Node_43	4	0	4	0	0	302	0	284	0.000000	0.000000	110332	110032
Node_44	18	0	18	0	0	302	0	285	0.000000	0.000000	110343	110043
Node_45	9	0	9	0	0	302	0	285	0.000000	0.000000	110347	110047
Node_46	196	0	196	0	0	302	0	285	0.000000	0.000000	110353	110053
Node_47	227	0	227	0	0	302	0	285	0.000000	0.000000	110361	110060
Node_48	821	10	811	1	146	302	145	285	0.012330	0.001233	110373	110217
Node_49	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
Node_50	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110321	101946
Node_51	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
Node_52	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
Node_53	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
Node_54	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
Node_55	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110322	101947
Node_56	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110322	101947
Node_57	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110322	101947
Node_58	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110322	101947
Node_59	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110322	101947
Node_60	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110322	101947
Node_61	5	0	5	0	0	8383	0	8349	0.000000	0.000000	110322	101947
Node_62	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
Node_63	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110322	101947
Node_64	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110322	101947
Node_65	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110322	101947
Node_66	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110323	101948
Node_67	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110323	101948
Node_68	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
Node_69	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
Node_70	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
Node_71	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110321	101946
Node_72	2	0	2	0	0	8383	0	8349	0.000000	0.000000	110323	101948
Node_73	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
Node_74	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
Node_75	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
Node_76	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
Node_77	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
Node_78	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
Node_79	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110321	101946
Node_80	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110318	101943
Node_81	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
Node_82	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
Node_83	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
Node_84	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
Node_85	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
Node_86	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
Node_87	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
Node_88	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110320	101945
Node_89	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
Node_90	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
Node_91	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
Node_92	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110319	101944
Node_93	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
Node_94	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
Node_95	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110323	101948
Node_96	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110324	101949
Node_97	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110324	101949
Node_98	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
Node_99	1	0	1	0	0	8383	0	8349	0.000000	0.000000	110318	101943
Node_100	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110318	101943
Node_101	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110319	101944
Node_102	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
Node_103	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
Node_104	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110320	101945
Node_105	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110325	101950
Node_106	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110325	101950
Node_107	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110325	101950
Node_108	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110325	101950
Node_109	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110325	101950
Node_110	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110326	101951
Node_111	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110326	101951
Node_112	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110328	101953
Node_113	0	0	0	0	0	8383	0	8349	0.000000	0.000000	110328	101953
Node_114	202	66	136	6	2979	8383	2975	8349	0.485294	0.044118	110330	104604
Node_115	173	34	139	5	1610	11967	1608	11927	0.244604	0.035971	110322	99360
Node_116	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110315	89202
Node_117	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110315	89202
Node_118	3	0	3	0	0	21121	0	21041	0.000000	0.000000	110315	89202
Node_119	3	0	3	0	0	21121	0	21043	0.000000	0.000000	110320	89207
Node_120	13	0	13	0	0	21121	0	21043	0.000000	0.000000	110320	89207
Node_121	1	0	1	0	0	21121	0	21042	0.000000	0.000000	110321	89208
Node_122	3	0	3	0	0	21121	0	21042	0.000000	0.000000	110321	89208
Node_123	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110313	89199
Node_124	2	0	2	0	0	21121	0	21041	0.000000	0.000000	110313	89199
Node_125	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110317	89203
Node_126	5	0	5	0	0	21121	0	21041	0.000000	0.000000	110317	89203
Node_127	1	0	1	0	0	21121	0	21041	0.000000	0.000000	110317	89203
Node_128	3	0	3	0	0	21121	0	21041	0.000000	0.000000	110317	89203
Node_129	2	0	2	0	0	21121	0	21042	0.000000	0.000000	110321	89207
Node_130	0	0	0	0	0	21121	0	21042	0.000000	0.000000	110321	89207
Node_131	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110319	89205
Node_132	1	0	1	0	0	21121	0	21041	0.000000	0.000000	110317	89203
Node_133	2	0	2	0	0	21121	0	21041	0.000000	0.000000	110317	89203
Node_134	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110317	89203
Node_135	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110319	89205
Node_136	0	0	0	0	0	21121	0	21041	0.000000	0.000000	110320	89206
Node_137	3	0	3	0	0	21121	0	21042	0.000000	0.000000	110321	89207
Node_138	1	0	1	0	0	21121	0	21042	0.000000	0.000000	110321	89207
Node_139	5	0	5	0	0	21121	0	21043	0.000000	0.000000	110324	89210
Node_140	1	0	1	0	0	21121	0	21043	0.000000	0.000000	110325	89211
Node_141	224	69	155	5	2261	21121	2237	21043	0.445161	0.032258	110325	89409
Node_142	178	67	111	6	3240	22564	3232	22486	0.603604	0.054054	110326	89411
Node_143	116	59	57	6	6058	20923	6053	20846	1.035088	0.105263	110333	92864
Node_144	111	69	42	6	4293	17476	4277	17405	1.642857	0.142857	110337	96680
Node_145	77	35	42	5	3122	13664	3101	13608	0.833333	0.119048	110337	99374
Node_146	111	61	50	6	5545	10970	5535	10930	1.220000	0.120000	110339	104612
Node_147	190	63	127	7	3370	5734	3368	5704	0.496063	0.055118	110348	107986
Node_148	205	33	172	4	1857	2364	1831	2336	0.191860	0.023256	110352	109691
Node_149	3	0	3	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_150	6	0	6	0	0	663	0	645	0.000000	0.000000	110514	109854
Node_151	2	0	2	0	0	663	0	645	0.000000	0.000000	110517	109857
Node_152	1	0	1	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_153	2	0	2	0	0	663	0	645	0.000000	0.000000	110518	109858
Node_154	4	0	4	0	0	663	0	645	0.000000	0.000000	110518	109858
Node_155	1	0	1	0	0	663	0	645	0.000000	0.000000	110321	109661
Node_156	3	0	3	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_157	1	0	1	0	0	663	0	645	0.000000	0.000000	110323	109663
Node_158	2	0	2	0	0	663	0	645	0.000000	0.000000	110323	109663
Node_159	5	0	5	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_160	2	0	2	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_161	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_162	4	0	4	0	0	663	0	645	0.000000	0.000000	110328	109668
Node_163	4	0	4	0	0	663	0	645	0.000000	0.000000	110322	109662
Node_164	3	0	3	0	0	663	0	645	0.000000	0.000000	110328	109668
Node_165	1	0	1	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_166	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_167	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_168	1	0	1	0	0	663	0	645	0.000000	0.000000	110327	109667
Node_169	4	0	4	0	0	663	0	645	0.000000	0.000000	110329	109669
Node_170	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_171	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_172	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
Node_173	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
Node_174	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
Node_175	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_176	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_177	0	0	0	0	0	663	0	645	0.000000	0.000000	110327	109667
Node_178	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_179	0	0	0	0	0	663	0	645	0.000000	0.000000	110327	109667
Node_180	0	0	0	0	0	663	0	645	0.000000	0.000000	110329	109669
Node_181	0	0	0	0	0	663	0	645	0.000000	0.000000	110329	109669
Node_182	0	0	0	0	0	663	0	645	0.000000	0.000000	110329	109669
Node_183	0	0	0	0	0	663	0	645	0.000000	0.000000	110329	109669
Node_184	0	0	0	0	0	663	0	645	0.000000	0.000000	110329	109669
Node_185	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
Node_186	0	0	0	0	0	663	0	645	0.000000	0.000000	110321	109661
Node_187	0	0	0	0	0	663	0	644	0.000000	0.000000	110291	109632
Node_188	0	0	0	0	0	663	0	644	0.000000	0.000000	110293	109634
Node_189	0	0	0	0	0	663	0	644	0.000000	0.000000	110297	109638
Node_190	0	0	0	0	0	663	0	644	0.000000	0.000000	110300	109641
Node_191	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_192	0	0	0	0	0	663	0	645	0.000000	0.000000	110327	109667
Node_193	0	0	0	0	0	663	0	645	0.000000	0.000000	110327	109667
Node_194	0	0	0	0	0	663	0	645	0.000000	0.000000	110329	109669
Node_195	0	0	0	0	0	663	0	645	0.000000	0.000000	110329	109669
Node_196	0	0	0	0	0	663	0	645	0.000000	0.000000	110335	109675
Node_197	10	0	10	0	0	663	0	645	0.000000	0.000000	110335	109675
Node_198	1	0	1	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_199	1	0	1	0	0	663	0	645	0.000000	0.000000	110321	109661
Node_200	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_201	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_202	0	0	0	0	0	663	0	645	0.000000	0.000000	110327	109667
Node_203	0	0	0	0	0	663	0	645	0.000000	0.000000	110327	109667
Node_204	1	0	1	0	0	663	0	645	0.000000	0.000000	110321	109661
Node_205	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_206	0	0	0	0	0	663	0	645	0.000000	0.000000	110329	109669
Node_207	0	0	0	0	0	663	0	645	0.000000	0.000000	110329	109669
Node_208	0	0	0	0	0	663	0	645	0.000000	0.000000	110330	109670
Node_209	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_210	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_211	0	0	0	0	0	663	0	645	0.000000	0.000000	110327	109667
Node_212	0	0	0	0	0	663	0	645	0.000000	0.000000	110328	109668
Node_213	0	0	0	0	0	663	0	645	0.000000	0.000000	110328	109668
Node_214	0	0	0	0	0	663	0	645	0.000000	0.000000	110330	109670
Node_215	0	0	0	0	0	663	0	645	0.000000	0.000000	110330	109670
Node_216	0	0	0	0	0	663	0	645	0.000000	0.000000	110330	109670
Node_217	1	0	1	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_218	1	0	1	0	0	663	0	645	0.000000	0.000000	110330	109670
Node_219	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_220	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_221	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_222	0	0	0	0	0	663	0	645	0.000000	0.000000	110323	109663
Node_223	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_224	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_225	0	0	0	0	0	663	0	645	0.000000	0.000000	110328	109668
Node_226	0	0	0	0	0	663	0	645	0.000000	0.000000	110330	109670
Node_227	1	0	1	0	0	663	0	645	0.000000	0.000000	110330	109670
Node_228	0	0	0	0	0	663	0	645	0.000000	0.000000	110330	109670
Node_229	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_230	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_231	1	0	1	0	0	663	0	645	0.000000	0.000000	110330	109670
Node_232	0	0	0	0	0	663	0	645	0.000000	0.000000	110330	109670
Node_233	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_234	0	0	0	0	0	663	0	645	0.000000	0.000000	110330	109670
Node_235	0	0	0	0	0	663	0	645	0.000000	0.000000	110336	109676
Node_236	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_237	2	0	2	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_238	1	0	1	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_239	1	0	1	0	0	663	0	645	0.000000	0.000000	110329	109668
Node_240	0	0	0	0	0	663	0	645	0.000000	0.000000	110335	109674
Node_241	1	0	1	0	0	663	0	645	0.000000	0.000000	110335	109674
Node_242	3	0	3	0	0	663	0	645	0.000000	0.000000	110339	109678
Node_243	0	0	0	0	0	663	0	645	0.000000	0.000000	110342	109681
Node_244	2	0	2	0	0	663	0	645	0.000000	0.000000	110344	109683
Node_245	4	0	4	0	0	663	0	645	0.000000	0.000000	110344	109683
Node_246	5	0	5	0	0	663	0	645	0.000000	0.000000	110346	109685
Node_247	48	0	48	0	0	663	0	645	0.000000	0.000000	110538	109877
Node_248	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_249	1	0	1	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_250	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_251	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_252	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_253	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_254	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_255	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_256	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_257	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_258	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_259	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_260	1	0	1	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_261	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_262	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_263	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_264	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_265	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_266	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_267	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_268	1	0	1	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_269	1	0	1	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_270	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_271	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_272	0	0	0	0	0	663	0	645	0.000000	0.000000	110327	109667
Node_273	0	0	0	0	0	663	0	645	0.000000	0.000000	110333	109673
Node_274	0	0	0	0	0	663	0	645	0.000000	0.000000	110333	109673
Node_275	0	0	0	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_276	1	0	1	0	0	663	0	645	0.000000	0.000000	110324	109664
Node_277	2	0	2	0	0	663	0	645	0.000000	0.000000	110333	109673
Node_278	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_279	0	0	0	0	0	663	0	645	0.000000	0.000000	110325	109665
Node_280	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_281	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_282	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_283	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_284	0	0	0	0	0	663	0	645	0.000000	0.000000	110326	109666
Node_285	7	0	7	0	0	663	0	645	0.000000	0.000000	110333	109673
Node_286	17	0	17	0	0	663	0	645	0.000000	0.000000	110333	109673
Node_287	130	0	130	0	0	663	0	645	0.000000	0.000000	110540	109879
Node_288	553	22	531	2	507	663	505	645	0.041431	0.003766	110560	110404
Node_289	1381	22	1359	2	156	156	140	140	0.016188	0.001472	110626	110626
Node_290	0	0	0	0	0	0	0	0	0.000000	0.000000	110703	110703
